cod_familiar;faixa_renda;loteamento;qtd_pessoas;renda_total_declarada;renda_per_capita
6023239242;3 a 5 SM;JARDIM AMANDA;2.0;5980;2990.0
7857383805;3 a 5 SM;JARDIM AMANDA;2.0;5970;2985.0
8467409827;3 a 5 SM;CHACARA ACARAI;2.0;5968;2984.0
8696000528;3 a 5 SM;JARDIM MIRANTE DE SUMARE;2.0;5962;2981.0
8382043330;3 a 5 SM;JARDIM CAMPOS VERDES;2.0;5960;2980.0
20245013970;3 a 5 SM;JARDIM ADELAIDE;2.0;5960;2980.0
6928830107;3 a 5 SM;JARDIM AMANDA;2.0;5932;2966.0
8011114395;3 a 5 SM;JARDIM SAO BENTO;2.0;5928;2964.0
3789413305;3 a 5 SM;JARDIM SANTA CLARA DO LAGO;2.0;5916;2958.0
1959869469;3 a 5 SM;JARDIM PRIMAVERA;2.0;5904;2952.0
6748293448;3 a 5 SM;JARDIM ADELAIDE;2.0;5898;2949.0
4470338168;3 a 5 SM;JARDIM BOA ESERANCA;2.0;5892;2946.0
6619716350;3 a 5 SM;VILA REAL CONTINUACAO;2.0;5888;2944.0
3968801180;3 a 5 SM;JARDIM NOVA AMERICA;2.0;5886;2943.0
20288931769;3 a 5 SM;VILA REAL;2.0;5880;2940.0
7707320700;3 a 5 SM;PARQUE DO HORTO;2.0;5876;2938.0
7519523462;3 a 5 SM;JARDIM SANTA CLARA DO LAGO;2.0;5874;2937.0
8058725749;3 a 5 SM;JARDIM AMANDA;2.0;5872;2936.0
7914483630;3 a 5 SM;PARQUE DO HORTO;2.0;5866;2933.0
8662122990;3 a 5 SM;REMANSO CAMPINEIRO;2.0;5862;2931.0
8564518279;3 a 5 SM;JARDIM AMANDA;2.0;5858;2929.0
5284054202;3 a 5 SM;JARDIM AMANDA;2.0;5852;2926.0
8329402592;3 a 5 SM;JARDIM SAO SEBASTIAO;2.0;5842;2921.0
20328568910;3 a 5 SM;JARDIM ADELAIDE;2.0;5838;2919.0
8378594173;3 a 5 SM;JARDIM CAMPOS VERDES;2.0;5836;2918.0
8120174046;3 a 5 SM;JARDIM DO LAGO;2.0;5834;2917.0
4535548226;3 a 5 SM;JARDIM AMANDA;2.0;5822;2911.0
7378789240;3 a 5 SM;JARDIM AMANDA;2.0;5822;2911.0
