d.nom_localidade_fam;total_trab;n_formal;n_informal;pct_informal
VILA REAL SANTISTA;55;38;17;30.91
CONJUNTO HABITACIONAL JARDIM PRIMAVERA;13;9;4;30.77
JARDIM STELLA;13;9;4;30.77
PARQUE DOS PINHEIROS;169;118;51;30.18
JARDIM NOVO HORIZONTE;103;72;31;30.1
PARQUE ORTOLANDIA;123;86;37;30.08
JARDIM NOVA HORTOLANDIA;602;421;181;30.07
RESIDENCIAL JOAO LUIZ;60;42;18;30.0
JARDIM NOSSA SENHORA DE LOURDES;10;7;3;30.0
VILA CONQUISTA;10;7;3;30.0
ADVENTISTA CAMPINEIRO;77;54;23;29.87
JARDIM AMANDA 1;208;146;62;29.81
JARDIM NOVA ALVORADA;48;34;14;29.17
JARDIM SAO CAMILO;79;56;23;29.11
JARDIM CAMPOS VERDES;361;256;105;29.09
LOTEAMENTO ADVENTISTA CAMPINEIRO;31;22;9;29.03
JARDIM NOVA AMERICA;568;405;163;28.7
PARQUE PERON;108;77;31;28.7
CHACARAS ACARAI;14;10;4;28.57
NOVA HORTOLANDIA;104;75;29;27.88
JARDIM SANTANA;112;81;31;27.68
JARDIM CARMEN CRISTINA;29;21;8;27.59
PARQUE ORESTE ONGARO;175;127;48;27.43
NOVA EUROPA;22;16;6;27.27
PARQUE SAO MIGUEL;70;51;19;27.14
JARDIM AMANDA II;281;205;76;27.05
SAO SEBASTIAO;26;19;7;26.92
JARDIM MALTA;82;60;22;26.83
RECANTO DO SOL;101;74;27;26.73
JARDIM DAS FLORES;38;28;10;26.32
JARDIM SANTA EMILIA;42;31;11;26.19
REMANSO CAMPINEIRO;308;228;80;25.97
JARDIM SANTA CLARA DO LAGO;367;272;95;25.89
PARQUE ODIMAR;43;32;11;25.58
JARDIM NOVO ESTRELA;200;149;51;25.5
JARDIM SAO BENTO;289;216;73;25.26
JARDIM MINDA;278;208;70;25.18
JARDIM LARANJEIRAS;20;15;5;25.0
PARQUE SANTO ANDRE;108;81;27;25.0
JARDIM GHIRALDELLI;48;36;12;25.0
JARDIM SANTA AMELIA;49;37;12;24.49
JARDIM BOA VISTA;41;31;10;24.39
PARQUE HORTOLANDIA;37;28;9;24.32
NOVO ANGULO;359;272;87;24.23
JARDIM DO BOSQUE;108;82;26;24.07
JARDIM SANTA IZABEL;142;108;34;23.94
JARDIM SANTA CANDIDA;21;16;5;23.81
VILA GUEDES;118;90;28;23.73
PARQUE RESIDENCIAL MARIA DE LOURDES;38;29;9;23.68
JARDIM NOVO ANGULO;689;526;163;23.66
JARDIM AMANDA;2833;2164;669;23.61
JARDIM DO LAGO;77;59;18;23.38
VILA SAO FRANCISCO;61;47;14;22.95
JARDIM ESTEFANIA;35;27;8;22.86
CHACARAS FAZENDA COELHO;18;14;4;22.22
JARDIM NOVA EUROPA;545;425;120;22.02
VILA AMERICA;46;36;10;21.74
JARDIM RICARDO;37;29;8;21.62
JARDIM ROSOLEM;37;29;8;21.62
JARDIM NOSSA SENHORA DE FATIMA;284;223;61;21.48
JARDIM SAO BENEDITO;14;11;3;21.43
NUCLEO SANTA IZABEL;43;34;9;20.93
JARDIM SANTA RITA DE CASSIA;139;110;29;20.86
JARDIM SANTA CLARA DO LAGO II;29;23;6;20.69
JARDIM BRASIL;159;127;32;20.13
PARQUE RESIDENCIAL JOAO LUIZ;25;20;5;20.0
SANTA RITA DE CASSIA;15;12;3;20.0
JARDIM NOVA ESTRELA II;10;8;2;20.0
JARDIM ADELAIDE;331;266;65;19.64
NOVA AMERICA;89;72;17;19.1
JARDIM CONCEICAO;237;192;45;18.99
JARDIM ROSOLEN;37;30;7;18.92
JARDIM MONTE SINAI;134;109;25;18.66
JARDIM AUXILIADORA;93;76;17;18.28
JARDIM MIRANTE;11;9;2;18.18
CHACARA REYMAR;45;37;8;17.78
CHACARA FAZENDA COELHO;57;47;10;17.54
JARDIM TERRAS DE SANTO ANTONIO;160;133;27;16.88
JARDIM SANTO ANDRE;12;10;2;16.67
JARDIM ALINE;100;86;14;14.0
JARDIM SANTIAGO;143;124;19;13.29
JARDIM SUMAREZINHO;255;223;32;12.55
MONTE SINAI;53;47;6;11.32
JARDIM DAS LARANJEIRAS;29;26;3;10.34
JARDIM FIRENZE;10;9;1;10.0
JARDIM NOSSA SENHORA DA PENHA;25;24;1;4.0
