d.nom_localidade_fam;total;fora_escola;ch03_pct
JARDIM DAS PAINEIRAS;9;3;0.3333333333333333
JARDIM SANTIAGO;117;3;0.02564102564102564
JARDIM TERRAS DE SANTO ANTONIO;93;2;0.021505376344086023
JARDIM DAS FIGUEIRAS 1;8;2;0.25
JARDIM DAS FIGUEIRAS;18;2;0.1111111111111111
JARDIM NOSSA SENHORA DE LOURDES;8;2;0.25
JARDIM DAS FIGUEIRAS I;17;2;0.11764705882352941
JARDIM MIRANTE DE SUMARE;46;2;0.043478260869565216
PARQUE SAO MIGUEL;43;2;0.046511627906976744
JARDIM GOLDEN PARK RESIDENCE;3;2;0.6666666666666666
JARDIM DAS FIGUEIRAS II;29;2;0.06896551724137931
JARDIM ESTEFANIA;22;2;0.09090909090909091
JARDIM SAO PEDRO;50;2;0.04
JARDIM CARMEM CRISTINA;36;2;0.05555555555555555
RESIDENCIAL ANAUA;35;2;0.05714285714285714
JARDIM NOSSA SENHORA DA PENHA;19;2;0.10526315789473684
JARDIM FIGUEIRAS I;4;2;0.5
CHACARA REYMAR;38;2;0.05263157894736842
CONJUNTO HABITACIONAL JARDIM PRIMAVERA;18;2;0.1111111111111111
CHACARAS FAZENDA COELHO;23;2;0.08695652173913043
PARQUE HORTOLANDIA;8;2;0.25
JARDIM SANTA IZABEL;78;2;0.02564102564102564
JARDIM ROSOLEM;18;2;0.1111111111111111
JARDIM NOVO ESTRELA;111;2;0.018018018018018018
NOVA AMERICA;37;2;0.05405405405405406
JARDIM NOVA ALVORADA;39;2;0.05128205128205128
JARDIM SANTA AMELIA;19;2;0.10526315789473684
JARDIM RESIDENCIAL BURITI;4;1;0.25
JARDIM GREEN PARK RESIDENCE;1;1;1.0
JARDIM INERLAGOS;1;1;1.0
JARIDIM FIRENZE;1;1;1.0
JARDIM PAINEIRAS;1;1;1.0
JD NOVO HORIZONTE;3;1;0.3333333333333333
PARQUE TERRA DE SANTA MARIA;20;1;0.05
PARQUE SAO GABRIEL;3;1;0.3333333333333333
JARDIM VILLAGIO GHIRALDELLI;24;1;0.041666666666666664
JARDIM VILAGIO GHIRALDELLI;4;1;0.25
PARQUE OLIVIO FRANCESCHINI;1;1;1.0
JARDIM FIGUEIRA II;1;1;1.0
JARDIM SANTA CLARA DO LAGO CONTINUACAO;4;1;0.25
JARDIM SANTO ANTONIO;8;1;0.125
JARDIM NOVA HORTOLANDIA II;21;1;0.047619047619047616
PARQUE HORIZONTE;5;1;0.2
JARDIM MIRANTE;12;1;0.08333333333333333
PARQUE MARI DE LOURDES;1;1;1.0
JARDIM SANTA RITA;2;1;0.5
PARQUE RESIDENCIAL JOAO LUIZ;15;1;0.06666666666666667
LOTEAMENTO NOVO ANGULO;13;1;0.07692307692307693
JARDIM SAO FELIPE;22;1;0.045454545454545456
NOSSA SENHORA AUXILIADORA;3;1;0.3333333333333333
PARQUE BELLA VILLE;9;1;0.1111111111111111
PARQUE GARIEL;1;1;1.0
JD GIRASSOL;1;1;1.0
CHACARA RECREIO ALVORADA;14;1;0.07142857142857142
VILA GUEDES;71;1;0.014084507042253521
VILA REAL SANTISTA;31;1;0.03225806451612903
SANTA RITA DE CASSIA;7;1;0.14285714285714285
CAHCARA NOVA BOA VISTA;1;1;1.0
CHACARA RECHEIO ALVORADA;2;1;0.5
RESIDENCIAL JOAO LUIZ;25;1;0.04
JARDIM CARMEM CRSITINA;1;1;1.0
CARMEN CRISTINA;1;1;1.0
JARDIM BOA VISTA;25;1;0.04
SANTA CLARA DO LAGO II;2;1;0.5
JARDIM BOA ESPERENCA;2;1;0.5
RESIDENCIAL RECANTO DO SOL;68;1;0.014705882352941176
JARDIM AMANDA1;1;1;1.0
JARDIM BELLAVILLE;1;1;1.0
